City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,saint-philippe,-21.3585,55.7679,71.19,87,86,15.86,RE,1689448162
182,badger,64.8,-147.5333,63.14,81,75,3.44,US,1689448162
183,namtsy,62.7161,129.6658,43.43,91,13,4.68,RU,1689448163
184,fort st. john,56.2499,-120.8529,73.87,51,19,2.17,CA,1689448163
185,boyalik,41.2634,28.6314,77.92,80,0,10.58,TR,1689448163
186,gadzhiyevo,69.2551,33.3362,60.51,90,100,3.22,RU,1689448163
187,fortuna,40.5982,-124.1573,64.65,87,75,10.36,US,1689448164
188,los andes,-32.8337,-70.5983,55.0,42,100,1.25,CL,1689448164
189,gongzhuling,43.5008,124.8198,63.54,99,100,6.89,CN,1689448165
190,bireun,5.203,96.7009,78.01,76,100,4.88,ID,1689448165
191,kapuskasing,49.4169,-82.4331,75.25,62,70,11.01,CA,1689448165
192,mangalia,43.8,28.5833,71.92,81,0,6.91,RO,1689448166
193,boa vista,2.8197,-60.6733,89.58,58,75,8.05,BR,1689448158
194,la sarre,48.8002,-79.1996,78.51,51,53,9.57,CA,1689448140
195,christchurch,-43.5333,172.6333,52.0,61,100,4.61,NZ,1689447904
196,suva,-18.1416,178.4415,67.48,94,100,0.0,FJ,1689447974
197,udachny,66.4167,112.4,44.46,70,17,3.78,RU,1689448167
198,hailun,47.45,126.9333,61.12,95,100,11.25,CN,1689448168
199,ceeldheer,3.8488,47.1806,77.47,78,26,18.03,SO,1689448168
200,tralee,52.2704,-9.7026,56.43,88,95,19.26,IE,1689448168
201,el bauga,18.262,33.9081,91.45,36,100,31.63,SD,1689448169
202,sol'-iletsk,51.1631,54.9918,63.21,93,100,9.04,RU,1689448169
203,qui nhon,13.7667,109.2333,80.64,77,100,5.41,VN,1689448169
204,chos malal,-37.3781,-70.2709,44.08,30,29,4.61,AR,1689448170
205,urangan,-25.3,152.9,67.14,64,100,6.89,AU,1689448170
206,i-n-salah,27.1935,2.4607,102.34,4,0,8.28,DZ,1689448170
207,montepuez,-13.1256,38.9997,63.5,52,0,4.47,MZ,1689448171
208,kapa'a,22.0752,-159.319,79.12,81,75,6.91,US,1689447984
209,talnakh,69.4865,88.3972,43.21,94,100,6.46,RU,1689448172
210,hooper,41.1638,-112.1224,91.31,23,0,6.91,US,1689448172
211,crookston,47.7741,-96.6081,69.71,45,100,11.5,US,1689448173
212,usogorsk,63.4106,48.6872,61.41,77,100,3.89,RU,1689448173
213,capayan,-28.761,-66.0502,59.79,38,0,6.62,AR,1689448173
214,ancud,-41.8697,-73.8203,47.59,77,32,8.41,CL,1689448174
215,candido mendes,-1.4467,-45.7167,80.87,80,100,5.41,BR,1689448179
216,kertih,4.5141,103.4483,77.72,89,100,3.13,MY,1689448179
217,glendive,47.1053,-104.7125,73.02,43,0,9.22,US,1689448023
218,kiruna,67.8557,20.2251,52.72,82,20,3.44,SE,1689448180
219,varzea alegre,-5.35,-40.3833,95.25,23,29,8.43,BR,1689448180
220,tulagi,-9.0996,160.1476,79.9,79,100,7.83,SB,1689448181
221,kabompo,-13.5927,24.2008,59.88,39,0,5.35,ZM,1689448181
222,maralal,1.0968,36.698,60.96,59,13,7.87,KE,1689448181
223,fastiv,50.0767,29.9177,66.2,54,75,6.51,UA,1689448182
224,labuan bajo,-8.4964,119.8877,72.03,82,100,5.79,ID,1689448182
225,natal,-5.795,-35.2094,84.85,65,40,16.11,BR,1689447978
226,bubaque,11.2833,-15.8333,78.58,85,100,11.18,GW,1689448183
227,norrtalje,59.758,18.705,68.18,69,88,7.87,SE,1689448183
228,george town,5.4112,100.3354,80.53,92,20,2.3,MY,1689447914
229,benguela,-12.5763,13.4055,68.38,89,38,3.29,AO,1689448184
230,roxborough park,39.4739,-105.0853,82.81,48,27,3.0,US,1689448184
231,island harbour,50.724,-1.2758,62.64,85,37,13.0,GB,1689448184
232,tazacorte,28.629,-17.9293,76.17,89,75,18.41,ES,1689448185
233,vorgashor,67.5833,63.95,51.01,76,73,5.5,RU,1689448185
234,west mersea,51.778,0.9187,66.76,64,0,27.69,GB,1689448186
235,okhotsk,59.3833,143.3,54.55,92,100,4.65,RU,1689448187
236,selfoss,63.9331,-20.9971,55.04,64,73,10.54,IS,1689448187
237,puerto lempira,15.2667,-83.7667,87.94,66,40,9.22,HN,1689448187
238,vilyuchinsk,52.9306,158.4028,53.87,92,100,2.51,RU,1689448188
239,isafjordur,66.0755,-23.124,43.38,94,100,8.84,IS,1689448188
240,myitkyina,25.3833,97.4,76.46,100,100,1.92,MM,1689448188
241,prince rupert,54.3161,-130.3201,59.09,94,100,4.61,CA,1689448188
242,balakovo,52.0278,47.8007,60.84,89,100,6.11,RU,1689448189
243,cascais,38.6979,-9.4215,74.55,61,20,21.85,PT,1689447933
244,kruisfontein,-34.0033,24.7314,54.88,83,100,4.27,ZA,1689448189
245,balkanabat,39.5108,54.3671,84.85,43,36,11.45,TM,1689448190
246,tevriz,57.509,72.4042,55.49,98,100,8.79,RU,1689448190
247,namibe,-15.1961,12.1522,66.31,60,0,5.68,AO,1689448190
248,fauske,67.2588,15.3918,60.84,73,6,0.96,NO,1689448191
249,boguchany,58.3814,97.4531,59.34,56,63,5.82,RU,1689448191
250,taroa,8.7058,171.2275,82.72,73,100,16.69,MH,1689448191
251,tarawa,1.419,172.984,80.69,89,40,2.3,KI,1689448192
252,flin flon,54.7682,-101.865,53.02,90,100,10.63,CA,1689448192
253,selkirk,50.1436,-96.8845,69.1,40,100,15.21,CA,1689448192
